number,value,datetime_start,datetime_complete,duration,params_corner_curvature,params_icp_maximum_iteration,params_livox_min_dis,params_mapping_plane_resolution,params_surface_curvature,system_attrs_cma:generation,system_attrs_cma:n_restarts,system_attrs_cma:optimizer:0,system_attrs_cma:optimizer:1,system_attrs_fixed_params,state
10,0.8347629718864762,2026-07-28 01:15:07.360559,2026-07-28 01:23:26.640959,0 days 00:08:19.280400,0.02,5,0.9999999999999999,0.2,0.019999999999999997,1.0,0.0,,,,COMPLETE
11,999.0,2026-07-28 01:23:27.317262,2026-07-28 01:31:00.450229,0 days 00:07:33.132967,0.02,5,0.9999999999999999,1.1999999999999997,0.019999999999999997,1.0,0.0,,,,COMPLETE
12,999.0,2026-07-28 01:31:00.898249,2026-07-28 01:38:59.918599,0 days 00:07:59.020350,0.29999999999999993,30,0.05,1.1999999999999997,0.001,1.0,0.0,,,,COMPLETE
13,999.0,2026-07-28 01:39:06.070564,2026-07-28 01:47:45.367737,0 days 00:08:39.297173,0.02,30,0.05,0.2,0.019999999999999997,1.0,0.0,,,,COMPLETE
14,999.0,2026-07-28 01:47:46.617661,2026-07-28 01:54:57.483279,0 days 00:07:10.865618,0.29999999999999993,5,0.9999999999999999,1.1999999999999997,0.001,1.0,0.0,,,,COMPLETE
15,0.8023367217775463,2026-07-28 01:54:58.012446,2026-07-28 02:01:31.333820,0 days 00:06:33.321374,0.02,5,0.9999999999999999,0.2,0.001,1.0,0.0,,,,COMPLETE
16,0.8246018146120685,2026-07-28 02:01:31.687041,2026-07-28 02:05:37.154978,0 days 00:04:05.467937,0.29999999999999993,30,0.05,1.1999999999999997,0.001,1.0,0.0,,,,COMPLETE
17,999.0,2026-07-28 02:05:41.414426,2026-07-28 02:11:40.302371,0 days 00:05:58.887945,0.29999999999999993,30,0.9999999999999999,0.2,0.001,2.0,0.0,800363636d6165732e5f636d610a434d410a7100298171017d71022858060000005f6e5f64696d71034b0558080000005f706f7073697a6571044b0858030000005f6d7571054b0458070000005f6d755f6566667106636e756d70792e636f72652e6d756c746961727261790a7363616c61720a7107636e756d70790a64747970650a7108580200000066387109898887710a52710b284b0358010000003c710c4e4e4e4affffffff4affffffff4b0074710d62430820436f8e2acd0440710e86710f52711058030000005f636371116807680b43084f2d90ce11d0dc3f711286711352711458030000005f633171156807680b430841296f67b236a83f711686711752711858040000005f636d7571196807680b430854afe081e88aa33f711a86711b52711c58080000005f635f7369676d61711d6807680b43084129dea29b5dd73f711e86711f52712058080000005f645f7369676d6171216807680b4308508ab7e866d7f53f712286712352712458030000005f636d71254b0158060000005f6368695f6e71264740010737767cc6e058080000005f776569676874737127636e756d70792e636f72652e6d756c746961727261790a5f7265636f6e7374727563740a7128636e756d70790a6e6461727261790a71294b0085712a430162712b87712c52712d284b014b0885712e680858020000006638712f8988877130527131284b03680c4e4e4e4affffffff4affffffff4b0074713262894340c0fc6f2530f5e03f922449922449d23f912449922449c23f1c7d92cd463fa53fa00c85356a69c5bfa9cba55b603bddbf6af698789f72e6bfa9cba55b603bedbf71337471346258080000005f705f7369676d617135682868294b00857136682b877137527138284b014b05857139680b89432876e34c7a50e2eabfafa14e684991ec3f0e8281135468b9bf6cd6a8ad3fe7eebf0739c83a454d56c0713a74713b6258030000005f7063713c682868294b0085713d682b87713e52713f284b014b05857140680b8943280000000000000000000000000000000000000000000000000000000000000000000000000000000071417471426258050000005f6d65616e7143682868294b00857144682b877145527146284b014b058571476831894328004895263318d73ffe6c7dec35acca3fa7095dc68e48883f4aac68b0dfedeb3f9bc6d1c1d6d1354071487471496258060000005f7369676d61714a6807680b430839b1477947caf741714b86714c52714d58020000005f44714e4e58020000005f42714f4e58070000005f626f756e64737150682868294b00857151682b877152527153284b014b054b0286715468318943509a9999999999a93f000000000000f03f7b14ae47e17a943f333333333333d33ffca9f1d24d62503f7b14ae4,7e17a943f9a9999999999c93f333333333333f33f00000000000012400000000000803e4071557471566258110000005f6e5f6d61785f726573616d706c696e6771574b3258020000005f6771584b0258050000005f746f6c7871596807680b43084d48ee10d685ec3c715a86715b52715c58070000005f746f6c787570715d4740c388000000000058070000005f746f6c66756e715e473d719799812dea1158100000005f746f6c636f6e646974696f6e636f76715f4742d6bcc41e900000580d0000005f66756e686973745f7465726d71604b1d580f0000005f66756e686973745f76616c7565737161682868294b00857162682b877163527164284b014b3a85716568318942d00100005084243e000000000000000000000000378e531bb847e93f11e4bae35613ef3f619a07a42e6de93f0000000000388f40c8a72c3f0000000048ad823e000000000000000000000000060000000100000005000500f670000001000000000000002cad823e000000002ecf423f000000003d0000003d00000017000000510000002b0000000100000000000000060000000b0000002d0000003c0000003d0000003d00000000000000000002000000000078659e3e0000000088e5d23e000000000000000000000000000000000000000018000000000000002ecf423f000000003d0000003d000000000000000000000000000000000000000100000000000000ff01010001000000084a4509f770000078630bf4f6700000f8ed2c09f7700000306795ebf67000000000000000000000000000000000000020fa423f0000000020fa423f0000000080683609f7700000c0dd46d7f670000090f887d8f670000048c046d7f670000090c046d7f6700000a8c046d7f6700000507dd8d8f670000030de46d7f670000068de46d7f670000070f346d7f670000010914909f7700000705446d7f670000050e64809f7700000f03a3909f7700000308e4509f7700000f0854c09f770000070093909f770000071667471676258050000005f635f31647168682868294b00857169682b87716a52716b284b014b0f85716c680b8943783601af7cb800f23ffe29a4cb452da7bf5cbf17c2b5cf763f39ec5e0eb705ac3f51983a4dc55a0b400574410812fcf13f7a7a4cfe603993bf298a5be594d6aebfc12ac3cb1fb51ac0e5da57917384f13f6eb74ab3aff6913f47ba8ce19dc00c40e2db4b12bd37f23fe4d8607e3425184060bf6b06b5b88e40716d74716e6275622e,,COMPLETE
18,999.0,2026-07-28 02:11:41.446878,2026-07-28 02:17:54.426405,0 days 00:06:12.979527,0.02,30,0.05,1.1999999999999997,0.019999999999999997,2.0,0.0,,,,COMPLETE
19,999.0,2026-07-28 02:17:54.960135,2026-07-28 02:22:58.189589,0 days 00:05:03.229454,0.29999999999999993,30,0.05,0.2,0.019999999999999997,2.0,0.0,,,,COMPLETE
