number,value,datetime_start,datetime_complete,duration,params_blind,params_filter_size_map,params_filter_size_surf,params_max_iteration,params_point_filter_num,system_attrs_cma:generation,system_attrs_cma:n_restarts,system_attrs_cma:optimizer:0,system_attrs_cma:optimizer:1,system_attrs_fixed_params,state
10,0.11031104321499902,2026-07-14 03:07:03.366593,2026-07-14 03:08:53.691059,0 days 00:01:50.324466,0.5588142364990096,0.6168085621207636,0.3766740441297628,4,3,1.0,0.0,,,,COMPLETE
11,0.11077298251769975,2026-07-14 03:08:53.691634,2026-07-14 03:10:48.528877,0 days 00:01:54.837243,0.2873576077444118,0.7316629455253214,0.5688733278693023,4,3,1.0,0.0,,,,COMPLETE
12,0.11055458863061778,2026-07-14 03:10:48.529419,2026-07-14 03:12:46.990451,0 days 00:01:58.461032,0.8726771975077535,0.5448218384959291,0.3263576944764744,4,3,1.0,0.0,,,,COMPLETE
13,0.11019975974815624,2026-07-14 03:12:46.991087,2026-07-14 03:14:17.233330,0 days 00:01:30.242243,0.45508551819930676,0.5217621576518499,0.4276149717367328,4,3,1.0,0.0,,,,COMPLETE
14,0.11047305663618694,2026-07-14 03:14:17.233887,2026-07-14 03:16:08.966770,0 days 00:01:51.732883,0.48527141942232604,0.8118372021787311,0.5447129276834777,4,3,1.0,0.0,,,,COMPLETE
15,0.10996479860090164,2026-07-14 03:16:08.967306,2026-07-14 03:17:55.089938,0 days 00:01:46.122632,0.6753560604818758,0.5775736120202785,0.20849468142521216,4,3,1.0,0.0,,,,COMPLETE
16,0.11047642239416629,2026-07-14 03:17:55.090504,2026-07-14 03:19:34.166278,0 days 00:01:39.075774,0.44212627627349843,0.6608682408371026,0.5145175372900138,4,3,1.0,0.0,,,,COMPLETE
17,0.11022635860979751,2026-07-14 03:19:34.166891,2026-07-14 03:21:32.327359,0 days 00:01:58.160468,0.4035490714248543,0.4836957056872251,0.11088664910046664,4,3,2.0,0.0,800363636d6165732e5f636d610a434d410a7100298171017d71022858060000005f6e5f64696d71034b0558080000005f706f7073697a6571044b0858030000005f6d7571054b0458070000005f6d755f6566667106636e756d70792e636f72652e6d756c746961727261790a7363616c61720a7107636e756d70790a64747970650a7108580200000066387109898887710a52710b284b0358010000003c710c4e4e4e4affffffff4affffffff4b0074710d62430820436f8e2acd0440710e86710f52711058030000005f636371116807680b43084f2d90ce11d0dc3f711286711352711458030000005f633171156807680b430841296f67b236a83f711686711752711858040000005f636d7571196807680b430854afe081e88aa33f711a86711b52711c58080000005f635f7369676d61711d6807680b43084129dea29b5dd73f711e86711f52712058080000005f645f7369676d6171216807680b4308508ab7e866d7f53f712286712352712458030000005f636d71254b0158060000005f6368695f6e71264740010737767cc6e058080000005f776569676874737127636e756d70792e636f72652e6d756c746961727261790a5f7265636f6e7374727563740a7128636e756d70790a6e6461727261790a71294b0085712a430162712b87712c52712d284b014b0885712e680858020000006638712f8988877130527131284b03680c4e4e4e4affffffff4affffffff4b0074713262894340c0fc6f2530f5e03f922449922449d23f912449922449c23f1c7d92cd463fa53fa00c85356a69c5bfa9cba55b603bddbf6af698789f72e6bfa9cba55b603bedbf71337471346258080000005f705f7369676d617135682868294b00857136682b877137527138284b014b05857139680b894328df96e75de54bd33fcce73ba84941054096776ea9048becbf80a14f6f64f0793fca09b18eb14c05c0713a74713b6258030000005f7063713c682868294b0085713d682b87713e52713f284b014b05857140680b8943280000000000000000000000000000000000000000000000000000000000000000000000000000000071417471426258050000005f6d65616e7143682868294b00857144682b877145527146284b014b058571476831894328f9db018d5176e33f00000000000010409cab1f6e7826d83f394c63095494e13f000000000000084071487471496258060000005f7369676d61714a6807680b43083a76921941d7d23f714b86714c52714d58020000005f44714e4e58020000005f42714f4e58070000005f626f756e64737150682868294b00857151682b877152527153284b014b054b0286715468318943509a9999999999b93f000000000000f03f000000000000e03f0000000000001a409a9999999999b93f0000000,00000f03f9a9999999999b93f000000000000f03f000000000000e03f0000000000001a4071557471566258110000005f6e5f6d61785f726573616d706c696e6771574b3258020000005f6771584b0258050000005f746f6c7871596807680b4308e11837ce511c453d715a86715b52715c58070000005f746f6c787570715d4740c388000000000058070000005f746f6c66756e715e473d719799812dea1158100000005f746f6c636f6e646974696f6e636f76715f4742d6bcc41e900000580d0000005f66756e686973745f7465726d71604b1d580f0000005f66756e686973745f76616c7565737161682868294b00857162682b877163527164284b014b3a85716568318942d0010000c0f458240000000000000000000000003854a28d7128bc3f7921d8980c4ebc3fc4bcb32da726bc3f71a331419e5bbc3f646566205f5f696e69745f5f2873656c662c207461626c652c207768657265636c617573653d4e6f6e652c2076616c7565733d4e6f6e652c20696e6c696e653d46616c73652c2062696e643d4e6f6e652c2070726566697865733d4e6f6e652c2072657475726e696e673d4e6f6e652c2072657475726e5f64656661756c74733d46616c73652c2070726573657276655f706172616d657465725f6f726465723d46616c73652c202a2a6469616c6563745f6b77293a0a2020202072657475726e2074617267657428666e2c2073656c662c207461626c652c207768657265636c617573653d7768657265636c617573652c2076616c7565733d76616c7565732c20696e6c696e653d696e6c696e652c2062696e643d62696e642c2070726566697865733d70726566697865732c2072657475726e696e673d72657475726e696e672c2072657475726e5f64656661756c74733d72657475726e5f64656661756c74732c2070726573657276655f706172616d657465725f6f726465723d70726573657276655f706172616d657465725f6f726465722c202a2a6469616c656371667471676258050000005f635f31647168682868294b00857169682b87716a52716b284b014b0f85716c680b8943781a7073bf99bde93fe83b07051f36a93fb80e51e2c3f4a63f94bb37b4eb00a33f086c18f98b2a993f127f3a08a459f43f42de1385d37db23f7536d911cc7bb83f61ccc6f52386c9bfbe39f473e6aff13f031f63d5a03596bf6c1bcce303c9a1bf5c3790faa4ddf03fa2f2525cbe0ababf9a03042e78d8f43f716d74716e6275622e,,COMPLETE
18,0.110007676171424,2026-07-14 03:21:32.327928,2026-07-14 03:23:32.081196,0 days 00:01:59.753268,0.8107800729624066,0.5527487499722386,0.8198203085364408,5,3,2.0,0.0,,,,COMPLETE
19,0.11047843990266998,2026-07-14 03:23:32.081779,2026-07-14 03:25:25.237578,0 days 00:01:53.155799,0.8610228109290661,0.9829445198335499,0.216583749832379,4,3,2.0,0.0,,,,COMPLETE
