number,value,datetime_start,datetime_complete,duration,params_blind,params_filter_size_map,params_filter_size_surf,params_max_iteration,params_point_filter_num,system_attrs_fixed_params,state
28,0.11015187166992442,2026-07-14 02:09:35.976681,2026-07-14 02:11:10.096116,0 days 00:01:34.119435,0.6604091578857152,0.21670038347729476,0.6835609118158864,5,2,,COMPLETE
29,0.1103522074513993,2026-07-14 02:11:10.096682,2026-07-14 02:13:16.030613,0 days 00:02:05.933931,0.5188087489810869,0.4118877325484839,0.5479014677000462,3,3,,COMPLETE
30,0.11014991397005186,2026-07-14 02:13:16.031159,2026-07-14 02:15:16.251561,0 days 00:02:00.220402,0.4373743054048448,0.24417190262452837,0.4720311585348703,4,1,,COMPLETE
31,0.1102393363044276,2026-07-14 02:15:16.252162,2026-07-14 02:17:22.847670,0 days 00:02:06.595508,0.42875967145667093,0.23753867463695238,0.4669787101964344,4,1,,COMPLETE
32,0.11076977633810084,2026-07-14 02:17:22.848231,2026-07-14 02:18:57.021081,0 days 00:01:34.172850,0.3187686865042756,0.3383401300976395,0.6546814801901688,5,1,,COMPLETE
33,0.11053697204131174,2026-07-14 02:18:57.021645,2026-07-14 02:20:43.748096,0 days 00:01:46.726451,0.45404597053087487,0.14527773630900512,0.4181983291259676,4,2,,COMPLETE
34,0.11015561727325286,2026-07-14 02:20:43.748688,2026-07-14 02:22:34.283725,0 days 00:01:50.535037,0.5998603409000842,0.30143680130249795,0.6820864012396436,3,1,,COMPLETE
35,0.11041643515823939,2026-07-14 02:22:34.284317,2026-07-14 02:24:23.772443,0 days 00:01:49.488126,0.6542507694266959,0.16027252116777943,0.6029728176412432,5,2,,COMPLETE
36,0.11041229016706926,2026-07-14 02:24:23.772987,2026-07-14 02:26:16.176788,0 days 00:01:52.403801,0.27883655324700496,0.45185217688531965,0.9033392790668778,2,1,,COMPLETE
37,0.11044300062335316,2026-07-14 02:26:16.177377,2026-07-14 02:28:08.901567,0 days 00:01:52.724190,0.5669585441924432,0.26208443824913363,0.5693577962144281,4,2,,COMPLETE
38,0.11047124074847868,2026-07-14 02:28:08.902174,2026-07-14 02:29:55.961858,0 days 00:01:47.059684,0.7314418338372569,0.3679134855068603,0.28683527719611246,2,1,,COMPLETE
39,0.10986462529169409,2026-07-14 02:29:55.962395,2026-07-14 02:31:28.203701,0 days 00:01:32.241306,0.9482998792998298,0.23510016325160327,0.8662957553723631,5,4,,COMPLETE
40,0.11046482666852245,2026-07-14 02:31:28.204281,2026-07-14 02:33:37.958911,0 days 00:02:09.754630,0.92931228495689,0.4603936411131828,0.8515664727022445,4,4,,COMPLETE
41,0.11066001781746126,2026-07-14 02:33:37.959460,2026-07-14 02:35:16.104100,0 days 00:01:38.144640,0.9463604695809433,0.22415259121758535,0.7522802416611744,5,4,,COMPLETE
42,0.11033840435595887,2026-07-14 02:35:16.104656,2026-07-14 02:37:06.626332,0 days 00:01:50.521676,0.8689723017353803,0.269748075202481,0.8589928628338096,5,5,,COMPLETE
43,0.11004770793859431,2026-07-14 02:37:06.626984,2026-07-14 02:38:58.691956,0 days 00:01:52.064972,0.9579570442151549,0.3459085314168903,0.9333332856828578,5,4,,COMPLETE
44,0.11035760963657515,2026-07-14 02:38:58.692509,2026-07-14 02:40:50.322685,0 days 00:01:51.630176,0.9420197479701611,0.31274366587417185,0.8961512386678532,3,4,,COMPLETE
45,0.11011024224951164,2026-07-14 02:40:50.323215,2026-07-14 02:42:40.633225,0 days 00:01:50.310010,0.8556493768841842,0.3887187174270056,0.9598748575503062,6,4,,COMPLETE
46,0.11022335343395014,2026-07-14 02:42:40.633862,2026-07-14 02:44:31.543661,0 days 00:01:50.909799,0.9609700649100771,0.5793721539829474,0.9587085834874984,6,4,,COMPLETE
47,0.11037454356225132,2026-07-14 02:44:31.544266,2026-07-14 02:46:18.952089,0 days 00:01:47.407823,0.853559131746594,0.6540043564186374,0.9307355837303739,6,5,,COMPLETE
48,0.10997574528401562,2026-07-14 02:46:18.952679,2026-07-14 02:47:50.279412,0 days 00:01:31.326733,0.8899546545916952,0.3711622462930607,0.9313085049043863,6,4,,COMPLETE
49,0.11031602202405107,2026-07-14 02:47:50.279983,2026-07-14 02:49:36.888530,0 days 00:01:46.608547,0.904847261870884,0.357460198357192,0.9340374283492093,6,4,,COMPLETE
