number,value,datetime_start,datetime_complete,duration,params_blind,params_filter_size_map,params_filter_size_surf,params_max_iteration,params_point_filter_num,system_attrs_fixed_params,state
32,0.10873310705112546,2026-07-15 08:22:01.037223,2026-07-15 08:24:52.627428,0 days 00:02:51.590205,0.1061337766955406,0.1243451961908455,0.4121118711398304,5,5,,COMPLETE
33,0.10854268194371108,2026-07-15 08:24:52.651895,2026-07-15 08:27:53.341132,0 days 00:03:00.689237,0.13340508964702025,0.8861371539320193,0.6577530939901358,2,6,,COMPLETE
34,0.10982785920034278,2026-07-15 08:27:53.367922,2026-07-15 08:30:54.880655,0 days 00:03:01.512733,0.9780727038201894,0.6582877302397798,0.997511481598043,5,2,,COMPLETE
35,0.10931615134857213,2026-07-15 08:30:54.909663,2026-07-15 08:34:20.606451,0 days 00:03:25.696788,0.8880849326115743,0.991323209331852,0.49758946793265313,3,1,,COMPLETE
36,0.10952068733840996,2026-07-15 08:34:20.648820,2026-07-15 08:36:53.768765,0 days 00:02:33.119945,0.46837426756435263,0.9790812739053343,0.10244958934568262,2,2,,COMPLETE
37,0.11014022394652508,2026-07-15 08:36:53.796671,2026-07-15 08:39:43.045641,0 days 00:02:49.248970,0.9999999999999999,0.1,0.4139707268259738,4,6,,COMPLETE
38,0.11040423705294919,2026-07-15 08:39:43.070397,2026-07-15 08:42:44.133121,0 days 00:03:01.062724,0.3688338007016213,0.12707815539504888,0.3899339460447906,2,6,,COMPLETE
39,0.10911443660319764,2026-07-15 08:42:44.156881,2026-07-15 08:45:29.243542,0 days 00:02:45.086661,0.9954626588429135,0.11043206307838702,0.40210902281022887,1,1,,COMPLETE
40,0.10873310705112546,2026-07-15 08:45:29.271187,2026-07-15 08:48:20.323523,0 days 00:02:51.052336,0.1,0.9999999999999999,0.9820089606727155,1,6,,COMPLETE
41,0.10895750529668595,2026-07-15 08:48:20.347271,2026-07-15 08:51:13.496470,0 days 00:02:53.149199,0.31776137326049836,0.2563968262068176,0.9257820676414394,3,1,,COMPLETE
42,0.10892752325002868,2026-07-15 08:51:13.526787,2026-07-15 08:54:19.533728,0 days 00:03:06.006941,0.41832246876108203,0.9631160147998973,0.9137381720482018,3,4,,COMPLETE
43,0.10873310705112546,2026-07-15 08:54:19.558511,2026-07-15 08:57:46.505007,0 days 00:03:26.946496,0.1,0.8336647679103769,0.8753025531329955,1,3,,COMPLETE
44,0.10873310705112546,2026-07-15 08:57:46.531391,2026-07-15 09:01:19.775045,0 days 00:03:33.243654,0.1,0.9999999999999999,0.8337853279225698,6,4,,COMPLETE
45,0.10873310705112546,2026-07-15 09:01:19.801059,2026-07-15 09:04:13.887475,0 days 00:02:54.086416,0.1,0.1,0.9961168850202975,6,1,,COMPLETE
46,0.10854268194371108,2026-07-15 09:04:13.924364,2026-07-15 09:08:09.388199,0 days 00:03:55.463835,0.1567099556147923,0.3520619678892566,0.501793981050304,6,6,,COMPLETE
47,0.10854268194371108,2026-07-15 09:08:09.412098,2026-07-15 09:11:18.295892,0 days 00:03:08.883794,0.10688411607941492,0.19105327258362098,0.11676793610344349,6,2,,COMPLETE
48,0.11014093879057849,2026-07-15 09:11:18.324763,2026-07-15 09:14:31.825050,0 days 00:03:13.500287,0.6836344947354165,0.9777992823168361,0.9616175160748734,2,5,,COMPLETE
49,0.11026979446593889,2026-07-15 09:14:31.855014,2026-07-15 09:18:04.174288,0 days 00:03:32.319274,0.9370402169890614,0.16251159359183354,0.7933834333385924,6,3,,COMPLETE
