number,value,datetime_start,datetime_complete,duration,params_blind,params_filter_size_map,params_filter_size_surf,params_max_iteration,params_point_filter_num,system_attrs_fixed_params,state
28,0.1096417741851206,2026-07-15 02:46:27.825169,2026-07-15 02:49:57.599645,0 days 00:03:29.774476,0.24786521897040328,0.7786727290261739,0.5648238695609186,3,6,,COMPLETE
29,0.10921849613890278,2026-07-15 02:49:57.626439,2026-07-15 02:52:51.154508,0 days 00:02:53.528069,0.5350256183841682,0.49665378174828645,0.4408514040953055,5,3,,COMPLETE
30,0.10763229516275062,2026-07-15 02:52:51.183399,2026-07-15 02:56:20.039981,0 days 00:03:28.856582,0.9324196683135132,0.5317488039411602,0.23073846222830563,2,4,,COMPLETE
31,0.10895800763499665,2026-07-15 02:56:20.067408,2026-07-15 02:59:31.015255,0 days 00:03:10.947847,0.9253011118224238,0.5314773297602786,0.24160483434893693,2,4,,COMPLETE
32,0.11006992232060031,2026-07-15 02:59:31.043624,2026-07-15 03:02:48.117598,0 days 00:03:17.073974,0.8522371843825801,0.6045411273524299,0.20923773864898942,1,5,,COMPLETE
33,0.10922582738159259,2026-07-15 03:02:48.172874,2026-07-15 03:06:06.859621,0 days 00:03:18.686747,0.7817650172496017,0.4611057500633506,0.8995084753236892,1,4,,COMPLETE
34,0.11090590959311486,2026-07-15 03:06:06.895711,2026-07-15 03:09:25.100052,0 days 00:03:18.204341,0.7262834617188862,0.5629744170291987,0.414308563807566,2,3,,COMPLETE
35,0.1091258432122247,2026-07-15 03:09:25.125104,2026-07-15 03:12:49.540371,0 days 00:03:24.415267,0.9490330706922103,0.3003605428894992,0.5099015873194674,3,2,,COMPLETE
36,0.10907215011732378,2026-07-15 03:12:49.567784,2026-07-15 03:16:07.174451,0 days 00:03:17.606667,0.8705214760658937,0.4131244961073913,0.10005283458353992,1,1,,COMPLETE
37,0.10988053269705067,2026-07-15 03:16:07.199275,2026-07-15 03:19:21.869795,0 days 00:03:14.670520,0.4841782178884509,0.38132275081850087,0.6758299970921438,3,5,,COMPLETE
38,0.10954654262157164,2026-07-15 03:19:21.894892,2026-07-15 03:22:31.674792,0 days 00:03:09.779900,0.671910456608799,0.47234972416421045,0.8858711516903114,1,4,,COMPLETE
39,0.10992064196013035,2026-07-15 03:22:31.721432,2026-07-15 03:26:00.761622,0 days 00:03:29.040190,0.9381044804641904,0.11132877239813271,0.546317950688668,5,2,,COMPLETE
40,0.10929838177381866,2026-07-15 03:26:00.786915,2026-07-15 03:28:59.357891,0 days 00:02:58.570976,0.9937507487967613,0.7394105019952426,0.9307150557521727,4,6,,COMPLETE
41,0.10991395156085072,2026-07-15 03:28:59.388471,2026-07-15 03:32:07.591552,0 days 00:03:08.203081,0.887856004859629,0.4961176792374894,0.7966476626290625,1,2,,COMPLETE
42,0.10868174587698473,2026-07-15 03:32:07.617797,2026-07-15 03:35:31.932190,0 days 00:03:24.314393,0.9526810140480125,0.4472012683358469,0.8929438618466015,2,1,,COMPLETE
43,0.10872960179179232,2026-07-15 03:35:31.956386,2026-07-15 03:38:56.449056,0 days 00:03:24.492670,0.7459524090828998,0.6656827187042592,0.9536250097140054,1,2,,COMPLETE
44,0.10956579586932062,2026-07-15 03:38:56.483517,2026-07-15 03:41:59.651031,0 days 00:03:03.167514,0.84035946512044,0.370935253558441,0.9653122558480886,2,3,,COMPLETE
45,0.10869117729270963,2026-07-15 03:41:59.676489,2026-07-15 03:45:51.548615,0 days 00:03:51.872126,0.37488176808562146,0.5860285299691861,0.334359164560286,6,2,,COMPLETE
46,0.10818191838239925,2026-07-15 03:45:51.711922,2026-07-15 03:48:34.651754,0 days 00:02:42.939832,0.9144816770790677,0.710969472762012,0.1656269611733438,1,4,,COMPLETE
47,0.10965887484890273,2026-07-15 03:48:34.684246,2026-07-15 03:51:44.731835,0 days 00:03:10.047589,0.8052266365592109,0.8560351572491001,0.17325213206788037,1,4,,COMPLETE
48,0.11042124131628848,2026-07-15 03:51:44.760483,2026-07-15 03:55:10.860846,0 days 00:03:26.100363,0.9223023807219154,0.7047270283738517,0.27659973995269366,2,5,,COMPLETE
49,0.11009447398334136,2026-07-15 03:55:10.888320,2026-07-15 03:58:19.056486,0 days 00:03:08.168166,0.8748083316897995,0.6365480524886106,0.1951809729946154,6,4,,COMPLETE
